brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group
Citroen,C4,Citroen C4 Speedorer,52000.0,2019,1,130.0,0,petrol,1.2,0,1,1,0,1,1,citroen,Other
Nissan,Sentra,Nissan Sentra,89900.0,2021,1,149.0,0,petrol,2.0,0,1,1,0,1,1,nissan,Budget
Toyota,C-HR,Toyota C-HR,95000.0,2018,2,98.0,0,hybrid,1.8,0,1,1,0,0,0,toyota,Budget
Mitsubishi,Outlander,Mitsubishi Outlander,79900.0,2018,2,150.0,0,petrol,2.0,0,1,1,0,1,1,mitsubishi,Other
Kia,Picanto,Kia Picanto,2000.0,2020,2,84.0,0,petrol,1.2,1,0,1,0,0,0,kia,Budget
Infiniti,QX70,Infiniti QX70 / FX37,85000.0,2016,5,320.0,1,petrol,3.7,1,1,0,0,0,0,infiniti,Other
BMW,3 Series,BMW 3 Series,5900.0,2022,2,156.0,0,petrol,2.0,0,1,1,0,0,0,bmw,Luxury
Mercedes,Sprinter,Mercedes Sprinter commercial,224900.0,2022,1,190.0,0,diesel,3.0,1,0,0,0,0,0,mercedes,Luxury
Audi,A5,Audi A5,80000.0,2014,3,225.0,1,petrol,2.0,1,1,0,0,0,0,audi,Luxury
Mercedes,Sprinter,Mercedes Sprinter commercial,169000.0,2022,1,190.0,0,diesel,3.0,1,0,1,0,0,0,mercedes,Luxury
Skoda,Octavia,Skoda Octavia,7000.0,2021,2,110.0,0,petrol,1.0,1,0,0,0,0,0,skoda,Budget
Alfa Romeo,Stelvio,Alfa Romeo Stelvio,149900.0,2018,2,280.0,1,petrol,2.0,1,1,1,0,0,0,alfa romeo,Other
Mitsubishi,Pajero,Mitsubishi Pajero long,84900.0,2012,5,200.0,1,diesel,3.2,1,1,0,0,0,0,mitsubishi,Other
Toyota,Corolla Hybrid,Toyota Corolla Hybrid,105000.0,2019,2,98.0,0,hybrid,1.8,0,1,0,0,1,1,toyota,Budget
Hyundai,Sonata Hybrid,Hyundai Sonata Hybrid,116000.0,2021,1,192.0,0,hybrid,2.0,0,1,1,1,0,0,hyundai,Budget
Toyota,Corolla Hybrid,Toyota Corolla Hybrid,85000.0,2019,1,98.0,0,hybrid,1.8,0,1,1,0,0,0,toyota,Budget
Toyota,Corolla,Toyota Corolla,15400.0,2008,4,124.0,0,petrol,1.6,0,0,0,0,0,0,toyota,Budget
Kia,Seltos,Kia Seltos,102500.0,2021,1,149.0,0,petrol,2.0,0,1,1,0,0,0,kia,Budget
Mazda,3,Mazda 3,12000.0,2008,3,105.0,0,petrol,1.6,1,1,0,0,0,0,mazda,Other
Hyundai,Getz,Hyundai Getz,6500.0,2005,4,82.0,0,petrol,1.3,1,0,0,0,0,0,hyundai,Budget
Hyundai,i10,Hyundai i10,900.0,2011,2,69.0,0,petrol,1.1,1,0,0,0,0,0,hyundai,Budget
Hyundai,Veloster,Hyundai Veloster,37000.0,2013,3,140.0,0,petrol,1.6,1,0,0,0,0,0,hyundai,Budget
Hyundai,Ioniq,Hyundai Ioniq,71800.0,2017,3,141.0,0,hybrid,1.6,1,0,0,0,0,0,hyundai,Budget
Tesla,Model 3,Tesla Model 3,149000.0,2021,1,325.0,0,electric,,0,0,1,0,0,0,tesla,Luxury
Toyota,Corolla,Toyota Corolla,20000.0,2009,2,124.0,0,petrol,1.6,1,0,0,0,0,0,toyota,Budget
Peugeot,3008,Peugeot 3008,99000.0,2020,1,130.0,0,petrol,1.2,0,1,1,0,0,0,peugeot,Other
Mazda,CX-5,Mazda CX-5,57500.0,2013,1,155.0,0,petrol,2.0,0,1,0,1,0,0,mazda,Other
Kia,Seltos,Kia Seltos,122000.0,2022,3,149.0,0,petrol,2.0,0,1,1,0,0,0,kia,Budget
Hyundai,Ioniq,Hyundai Ioniq,90000.0,2018,2,141.0,0,hybrid,1.6,0,1,1,0,0,0,hyundai,Budget
Renault,Kangoo,The new Renault Kangoo,43000.0,2018,1,90.0,0,diesel,1.5,1,0,0,1,0,0,renault,Budget
Kia,Carnival,Kia Carnival,116000.0,2016,2,276.0,0,petrol,3.3,0,1,1,0,0,0,kia,Budget
Chevrolet,Spark,Chevrolet Spark,61000.0,2019,2,98.0,0,electric,1.4,0,1,1,0,0,0,chevrolet,Budget
Fiat,Tipo,Fiat Tipo,35000.0,2018,2,110.0,0,petrol,1.6,1,0,1,0,0,0,fiat,Budget
